year_film,year_ceremony,ceremony,name,film,winner
1978,1979,51,"Jerome Hellman, Producer",Coming Home,False
1978,1979,51,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,True
1978,1979,51,"Warren Beatty, Producer",Heaven Can Wait,False
1978,1979,51,"Alan Marshall and David Puttnam, Producers",Midnight Express,False
1978,1979,51,"Paul Mazursky and Tony Ray, Producers",An Unmarried Woman,False
1979,1980,52,"Robert Alan Aurthur, Producer",All That Jazz,False
1979,1980,52,"Francis Coppola, Producer;  Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",Apocalypse Now,False
1979,1980,52,"Peter Yates, Producer",Breaking Away,False
1979,1980,52,"Stanley R. Jaffe, Producer",Kramer vs. Kramer,True
1979,1980,52,"Tamara Asseyev and Alex Rose, Producers",Norma Rae,False
1980,1981,53,"Bernard Schwartz, Producer",Coal Miner's Daughter,False
1980,1981,53,"Jonathan Sanger, Producer",The Elephant Man,False
1980,1981,53,"Ronald L. Schwary, Producer",Ordinary People,True
1980,1981,53,"Irwin Winkler and Robert Chartoff, Producers",Raging Bull,False
1980,1981,53,"Claude Berri, Producer;  Timothy Burrill, Co-Producer",Tess,False
1981,1982,54,"Denis Heroux and John Kemeny, Producers",Atlantic City,False
1981,1982,54,"David Puttnam, Producer",Chariots of Fire,True
1981,1982,54,"Bruce Gilbert, Producer",On Golden Pond,False
1981,1982,54,"Frank Marshall, Producer",Raiders of the Lost Ark,False
1981,1982,54,"Warren Beatty, Producer",Reds,False
1982,1983,55,"Steven Spielberg and Kathleen Kennedy, Producers",E.T. The Extra-Terrestrial,False
1982,1983,55,"Richard Attenborough, Producer",Gandhi,True
1982,1983,55,"Edward Lewis and Mildred Lewis, Producers",Missing,False
1982,1983,55,"Sydney Pollack and Dick Richards, Producers",Tootsie,False
1982,1983,55,"Richard D. Zanuck and David Brown, Producers",The Verdict,False
1983,1984,56,"Michael Shamberg, Producer",The Big Chill,False
1983,1984,56,"Peter Yates, Producer",The Dresser,False
1983,1984,56,"Irwin Winkler and Robert Chartoff, Producers",The Right Stuff,False
1983,1984,56,"Philip S. Hobel, Producer",Tender Mercies,False
1983,1984,56,"James L. Brooks, Producer",Terms of Endearment,True
1984,1985,57,"Saul Zaentz, Producer",Amadeus,True
1984,1985,57,"David Puttnam, Producer",The Killing Fields,False
1984,1985,57,"John Brabourne and Richard Goodwin, Producers",A Passage to India,False
1984,1985,57,"Arlene Donovan, Producer",Places in the Heart,False
1984,1985,57,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",A Soldier's Story,False
1985,1986,58,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",The Color Purple,False
1985,1986,58,"David Weisman, Producer",Kiss of the Spider Woman,False
1985,1986,58,"Sydney Pollack, Producer",Out of Africa,True
1985,1986,58,"John Foreman, Producer",Prizzi's Honor,False
1985,1986,58,"Edward S. Feldman, Producer",Witness,False
1986,1987,59,"Burt Sugarman and Patrick Palmer, Producers",Children of a Lesser God,False
1986,1987,59,"Robert Greenhut, Producer",Hannah and Her Sisters,False
1986,1987,59,"Fernando Ghia and David Puttnam, Producers",The Mission,False
1986,1987,59,"Arnold Kopelson, Producer",Platoon,True
1986,1987,59,"Ismail Merchant, Producer",A Room with a View,False
1987,1988,60,"James L. Brooks, Producer",Broadcast News,False
1987,1988,60,"Stanley R. Jaffe and Sherry Lansing, Producers",Fatal Attraction,False
1987,1988,60,"John Boorman, Producer",Hope and Glory,False
1987,1988,60,"Jeremy Thomas, Producer",The Last Emperor,True
1987,1988,60,"Patrick Palmer and Norman Jewison, Producers",Moonstruck,False
1988,1989,61,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",The Accidental Tourist,False
1988,1989,61,"Norma Heyman and Hank Moonjean, Producers",Dangerous Liaisons,False
1988,1989,61,"Frederick Zollo and Robert F. Colesberry, Producers",Mississippi Burning,False
1988,1989,61,"Mark Johnson, Producer",Rain Man,True
1988,1989,61,"Douglas Wick, Producer",Working Girl,False
1989,1990,62,"A. Kitman Ho and Oliver Stone, Producers",Born on the Fourth of July,False
1989,1990,62,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",Dead Poets Society,False
1989,1990,62,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Driving Miss Daisy,True
1989,1990,62,"Lawrence Gordon and Charles Gordon, Producers",Field of Dreams,False
1989,1990,62,"Noel Pearson, Producer",My Left Foot: The Story of Christy Brown,False
1990,1991,63,"Walter F. Parkes and Lawrence Lasker, Producers",Awakenings,False
1990,1991,63,"Jim Wilson and Kevin Costner, Producers",Dances With Wolves,True
1990,1991,63,"Lisa Weinstein, Producer",Ghost,False
1990,1991,63,"Francis Ford Coppola, Producer",The Godfather Part III,False
1990,1991,63,"Irwin Winkler, Producer",GoodFellas,False
1991,1992,64,"Don Hahn, Producer",Beauty and the Beast,False
1991,1992,64,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",Bugsy,False
1991,1992,64,"A. Kitman Ho and Oliver Stone, Producers",JFK,False
1991,1992,64,"Barbra Streisand and Andrew Karsch, Producers",The Prince of Tides,False
1991,1992,64,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",The Silence of the Lambs,True
1992,1993,65,"Stephen Woolley, Producer",The Crying Game,False
1992,1993,65,"David Brown, Rob Reiner and Andrew Scheinman, Producers",A Few Good Men,False
1992,1993,65,"Ismail Merchant, Producer",Howards End,False
1992,1993,65,"Martin Brest, Producer",Scent of a Woman,False
1992,1993,65,"Clint Eastwood, Producer",Unforgiven,True
1993,1994,66,"Arnold Kopelson, Producer",The Fugitive,False
1993,1994,66,"Jim Sheridan, Producer",In the Name of the Father,False
1993,1994,66,"Jan Chapman, Producer",The Piano,False
1993,1994,66,"Mike Nichols, John Calley and Ismail Merchant, Producers",The Remains of the Day,False
1993,1994,66,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Schindler's List,True
1994,1995,67,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump,True
1994,1995,67,"Duncan Kenworthy, Producer",Four Weddings and a Funeral,False
1994,1995,67,"Lawrence Bender, Producer",Pulp Fiction,False
1994,1995,67,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",Quiz Show,False
1994,1995,67,"Niki Marvin, Producer",The Shawshank Redemption,False
1995,1996,68,"Brian Grazer, Producer",Apollo 13,False
1995,1996,68,"George Miller, Doug Mitchell and Bill Miller, Producers",Babe,False
1995,1996,68,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Braveheart,True
1995,1996,68,"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers",The Postman,False
1995,1996,68,"Lindsay Doran, Producer",Sense and Sensibility,False
1996,1997,69,"Saul Zaentz, Producer",The English Patient,True
1996,1997,69,"Ethan Coen, Producer",Fargo,False
1996,1997,69,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",Jerry Maguire,False
1996,1997,69,"Simon Channing-Williams, Producer",Secrets & Lies,False
1996,1997,69,"Jane Scott, Producer",Shine,False
1997,1998,70,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",As Good as It Gets,False
1997,1998,70,"Uberto Pasolini, Producer",The Full Monty,False
1997,1998,70,"Lawrence Bender, Producer",Good Will Hunting,False
1997,1998,70,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",L.A. Confidential,False
1997,1998,70,"James Cameron and Jon Landau, Producers",Titanic,True
1998,1999,71,"Alison Owen, Eric Fellner and Tim Bevan, Producers",Elizabeth,False
1998,1999,71,"Elda Ferri and Gianluigi Braschi, Producers",Life Is Beautiful,False
1998,1999,71,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",Saving Private Ryan,False
1998,1999,71,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Shakespeare in Love,True
1998,1999,71,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",The Thin Red Line,False
1999,2000,72,"Bruce Cohen and Dan Jinks, Producers",American Beauty,True
1999,2000,72,"Richard N. Gladstein, Producer",The Cider House Rules,False
1999,2000,72,"David Valdes and Frank Darabont, Producers",The Green Mile,False
1999,2000,72,"Michael Mann and Pieter Jan Brugge, Producers",The Insider,False
1999,2000,72,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",The Sixth Sense,False
2000,2001,73,"David Brown, Kit Golden and Leslie Holleran, Producers",Chocolat,False
2000,2001,73,"Bill Kong, Hsu Li Kong and Ang Lee, Producers","Crouching Tiger, Hidden Dragon",False
