,year_film,year_ceremony,ceremony,film,winner,original_language,original_title,release_date,vote_average,genre,rating,duration,era
173,1950,1951,23,King Solomon's Mines,False,en,King Solomon's Mines,1950-11-09,6.534,"['Adventure', 'Action', 'Romance']",6.7,103.0,Golden Era
174,1950,1951,23,Sunset Boulevard,False,en,Sunset Boulevard,1950-08-17,8.322,['Drama'],8.4,110.0,Golden Era
175,1951,1952,24,An American in Paris,True,en,An American in Paris,1951-09-26,7.019,"['Comedy', 'Music', 'Romance']",7.2,114.0,Golden Era
176,1951,1952,24,Decision before Dawn,False,en,Decision Before Dawn,1951-12-21,6.7,"['War', 'Action', 'Thriller']",7.2,119.0,Golden Era
177,1951,1952,24,A Place in the Sun,False,en,A Place in the Sun,1951-06-12,7.321,"['Drama', 'Romance', 'Crime']",7.7,122.0,Golden Era
178,1951,1952,24,Quo Vadis,False,en,Quo Vadis,1951-11-08,7.073,"['Drama', 'History', 'Romance']",7.1,171.0,Golden Era
179,1951,1952,24,A Streetcar Named Desire,False,en,A Streetcar Named Desire,1951-09-19,7.642,['Drama'],7.9,122.0,Golden Era
180,1952,1953,25,The Greatest Show on Earth,True,en,The Greatest Show on Earth,1952-02-16,6.273,"['Drama', 'Family', 'Romance']",6.6,152.0,Golden Era
181,1952,1953,25,High Noon,False,en,High Noon,1952-06-09,7.695,"['Western', 'Drama']",8.0,85.0,Golden Era
182,1952,1953,25,Ivanhoe,False,en,Ivanhoe,1952-07-31,6.794,"['Adventure', 'Romance', 'History']",6.7,106.0,Golden Era
183,1952,1953,25,Moulin Rouge,False,en,Moulin Rouge,1952-12-23,6.753,"['Drama', 'Music']",7.0,119.0,Golden Era
184,1952,1953,25,The Quiet Man,False,en,The Quiet Man,1952-07-21,7.311,"['Romance', 'Comedy', 'Drama']",7.7,129.0,Golden Era
185,1953,1954,26,From Here to Eternity,True,en,From Here to Eternity,1953-08-28,7.298,"['War', 'Romance', 'Drama']",7.6,118.0,Golden Era
186,1953,1954,26,Julius Caesar,False,en,Julius Caesar,1953-06-04,7.061,"['Drama', 'History']",7.2,120.0,Golden Era
187,1953,1954,26,The Robe,False,en,The Robe,1953-09-16,6.779,"['Drama', 'History']",6.7,135.0,Golden Era
188,1953,1954,26,Roman Holiday,False,en,Roman Holiday,1953-08-26,7.884,"['Romance', 'Comedy', 'Drama']",8.0,118.0,Golden Era
189,1953,1954,26,Shane,False,en,Shane,1953-04-23,7.421,"['Drama', 'Western']",7.6,118.0,Golden Era
190,1954,1955,27,The Caine Mutiny,False,en,The Caine Mutiny,1954-06-23,7.163,"['Drama', 'War']",7.7,124.0,Golden Era
