genre_ids,original_language,original_title,overview,release_date,title,vote_average
"[18, 10749]",en,Kitty Foyle,"Kitty Foyle, a hard-working white-collar girl from a Philadelphia, Pennsylvania low, middle-class family, meets and falls in love with young socialite Wyn Strafford but his family is against her.",1940-12-27,Kitty Foyle,6.632
"[80, 18]",en,The Letter,"After a woman shoots a man to death, a damning letter she wrote raises suspicions.",1940-11-21,The Letter,7.285
"[18, 10752]",en,The Long Voyage Home,The crew of the merchant ship Glencairn hope to survive a transatlantic crossing during World War II. Adapted from four Eugene O'Neill one-act plays.,1940-11-16,The Long Voyage Home,6.486
"[18, 10749]",en,Our Town,"Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.",1940-05-24,Our Town,5.8
"[35, 10749]",en,The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",1940-12-05,The Philadelphia Story,7.6
"[9648, 10749, 53, 18]",en,Rebecca,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",1940-03-23,Rebecca,7.9
"[18, 10749]",en,Blossoms in the Dust,"Edna marries Texan Sam Gladney, operator of a wheat mill. They have a son, who is killed when very young. Edna discovers by chance how the law treats children who are without parents and decides to do something about it. She opens a home for foundlings and orphans and begins to place children in good homes, despite the opposition of ""conservative"" citizens, who would condemn illegitimate children for being born out of wedlock. Eventually Edna leads a fight in the Texas legislature to remove the stigma of illegitimacy from birth records in that state, while continuing to be an advocate for homeless children.",1941-08-15,Blossoms in the Dust,6.5
"[9648, 18]",en,Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",1941-04-17,Citizen Kane,8.009
"[35, 14, 10749]",en,Here Comes Mr. Jordan,"Boxer Joe Pendleton, flying to his next fight, crashes...because a Heavenly Messenger, new on the job, snatched Joe's spirit prematurely from his body. Before the matter can be rectified, Joe's body is cremated; so the celestial Mr. Jordan grants him the use of the body of wealthy Bruce Farnsworth, who's just been murdered by his wife. Joe tries to remake Farnsworth's unworthy life in his own clean-cut image, but then falls in love; and what about that murderous wife?",1941-08-07,Here Comes Mr. Jordan,7.006
"[18, 10749]",en,Hold Back the Dawn,"Romanian-French gigolo Georges Iscovescu wishes to enter the USA. Stopped in Mexico by the quota system, he decides to marry an American, then desert her and join his old partner Anita, who's done likewise. But after sweeping teacher Emmy Brown off her feet, he finds her so sweet that love and jealousy endanger his plans.",1941-09-26,Hold Back the Dawn,6.539
[18],en,How Green Was My Valley,A man in his fifties reminisces about his childhood growing up in a Welsh mining village at the turn of the 20th century.,1941-10-28,How Green Was My Valley,7.236
"[18, 10749, 36]",en,The Little Foxes,"In 1900, a clan attempts to strike a deal with a Chicago industrialist to get him to build cotton mills in their Deep South town.",1941-08-29,The Little Foxes,7.471
"[9648, 80, 53]",en,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",1941-10-18,The Maltese Falcon,7.719
"[18, 10749]",en,One Foot in Heaven,Episodic look at the life of a minister and his family as they move from one parish to another.,1941-11-01,One Foot in Heaven,6.559
"[36, 10752, 18]",en,Sergeant York,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.,1941-09-27,Sergeant York,7.202
"[9648, 10749, 53]",en,Suspicion,"Wealthy, sheltered Lina McLaidlaw is swept off her feet by charming ne'er-do-well Johnnie Aysgarth. Though warned that Johnnie is little more than a fortune hunter, Lina marries him anyway and remains loyal to her irresponsible husband as he plows his way from one disreputable business scheme to another. Gradually Lina comes to the conclusion that Johnnie intends to kill her in order to collect her inheritance.",1941-11-14,Suspicion,7.105
"[53, 10752, 18]",en,49th Parallel,"In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock.",1941-11-24,49th Parallel,6.912
"[10749, 18, 9648]",en,Kings Row,Five young adults in a small American town face the revelations of secrets that threaten to ruin their hopes and dreams.,1942-02-02,Kings Row,7.103
"[18, 10749, 36]",en,The Magnificent Ambersons,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,1942-07-10,The Magnificent Ambersons,7.3
"[18, 10749, 10752]",en,Mrs. Miniver,"Middle-class housewife Kay Miniver deals with petty problems. She and her husband Clem watch her Oxford-educated son Vin court Carol Beldon, the charming granddaughter of the local nobility as represented by Lady Beldon. Then the war comes and Vin joins the RAF.",1942-07-03,Mrs. Miniver,7.054
"[18, 10752]",en,The Pied Piper,"Englishman Mr. Howard is on a fishing holiday in eastern France when the Germans invade in 1940. Setting off to try and get back home he is persuaded to take along the two Cavanaugh children, and as his journey progresses his family keeps growing in size. Once in German-occupied northern France a new problem arises — the risk of being heard speaking English.",1942-08-21,The Pied Piper,6.8
"[18, 10751]",en,The Pride of the Yankees,"The story of the life and career of the baseball hall of famer, Lou Gehrig.",1942-07-14,The Pride of the Yankees,7.335
"[10749, 18]",en,Random Harvest,"An amnesiac World War I vet falls in love with a music hall star, only to suffer an accident which restores his original memories but erases his post-War life.",1942-12-17,Random Harvest,7.236
"[35, 18, 10749]",en,The Talk of the Town,"When the Holmes Woolen Mill burns down, political activist Leopold Dilg is jailed for arson and accidental murder. Escaping, Leopold hides out in the home of his childhood sweetheart Nora Shelley... which she has just rented to unsuspecting law professor Michael Lightcap.",1942-08-20,The Talk of the Town,7.213
"[28, 18, 10752]",en,Wake Island,"In late 1941, with no hope of relief or re-supply, a small band of United States Marines tries to keep the Japanese Navy from capturing their island base.",1942-08-11,Wake Island,5.7
"[18, 10402]",en,Yankee Doodle Dandy,"A film of the life of the renowned musical composer, playwright, actor, dancer and singer George M. Cohan.",1942-05-29,Yankee Doodle Dandy,7.041
"[18, 10749]",en,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",1943-01-15,Casablanca,8.169
"[10752, 10749, 36, 18, 12]",en,For Whom the Bell Tolls,Spain in the 1930s is the place to be for a man of action like Robert Jordan. There is a civil war going on and Jordan—who has joined up on the side that appeals most to idealists of that era—has been given a high-risk assignment up in the mountains. He awaits the right time to blow up a crucial bridge in order to halt the enemy's progress.,1943-07-12,For Whom the Bell Tolls,6.552
"[14, 18, 35, 10749]",en,Heaven Can Wait,"Spoiled playboy Henry van Cleve dies and arrives at the entrance to Hell, a final destination he is sure he deserves after living a life of profligacy. The devil, however, isn't so sure Henry meets Hell's standards. Convinced he is where he belongs, Henry recounts his life's deeds, both good and bad, including an act of indiscretion during his 25-year marriage to his wife, Martha, with the hope that ""His Excellency"" will arrive at the proper judgment.",1943-08-05,Heaven Can Wait,6.872
"[35, 18, 10751]",en,The Human Comedy,"Teenager Homer Macauley stays at home in the small town of Ithaca, California to support his family while his older brother Marcus prepares to go to war.",1943-03-02,The Human Comedy,6.375
"[18, 10752]",en,In Which We Serve,"The story of the HMS Torrin, from its construction to its sinking in the Mediterranean during action in World War II. The ship's first and only commanding officer is Captain E.V. Kinross, who trains his men not only to be loyal to him and the country, but—most importantly—to themselves.",1942-09-17,In Which We Serve,6.838
