genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count
"[18, 10749]",42852,en,"Goodbye, Mr. Chips","A shy British teacher looks back nostalgically at his long career, taking note of the people who touched his life.",13.699,1939-07-28,"Goodbye, Mr. Chips",7.4,105
"[18, 10749]",43739,en,Love Affair,"A French playboy and an American former nightclub singer fall in love aboard a ship. They arrange to reunite six months later, if neither has changed their mind.",9.159,1939-04-07,Love Affair,7.071,91
"[35, 18]",3083,en,Mr. Smith Goes to Washington,"Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed to the United States Senate by the puppet governor of his state. He soon discovers, upon going to Washington, many shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss.",16.979,1939-10-19,Mr. Smith Goes to Washington,7.881,950
"[35, 10749]",1859,en,Ninotchka,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,16.431,1939-11-23,Ninotchka,7.488,345
[18],51802,en,Of Mice and Men,An intellectually disabled giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.,13.552,1939-12-24,Of Mice and Men,7.3,71
"[37, 12]",995,en,Stagecoach,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",16.506,1939-03-03,Stagecoach,7.65,1018
"[12, 14, 10751]",630,en,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",57.073,1939-08-15,The Wizard of Oz,7.575,5187
"[18, 10749]",3084,en,Wuthering Heights,"The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the moors and despite the continued enmity between Hindley and Heathcliff they're happy -- until Cathy meets Edgar Linton, the son of a wealthy neighbor.",14.723,1939-04-07,Wuthering Heights,7.193,243
"[18, 10749]",43807,en,"All This, and Heaven Too","When lovely and virtuous governess Henriette Deluzy comes to educate the children of the debonair Duc de Praslin, a royal subject to King Louis-Philippe and the husband of the volatile and obsessive Duchesse de Praslin, she instantly incurs the wrath of her mistress, who is insanely jealous of anyone who comes near her estranged husband. Though she saves the duchess's little son from a near-death illness and warms herself to all the children, she is nevertheless dismissed by the vengeful duchess. Meanwhile, the attraction between the duke and Henriette continues to grow, eventually leading to tragedy.",8.378,1940-07-05,"All This, and Heaven Too",7.295,44
"[53, 9648, 28, 10752]",25670,en,Foreign Correspondent,"American crime reporter John Jones is reassigned to Europe as a foreign correspondent to cover the imminent war. When he walks into the middle of an assassination and stumbles on a spy ring, he seeks help from a beautiful politician’s daughter and an urbane English journalist to uncover the truth.",17.942,1940-08-16,Foreign Correspondent,7.0,342
[18],596,en,The Grapes of Wrath,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.",14.736,1940-03-15,The Grapes of Wrath,7.821,891
"[35, 10752]",914,en,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,22.553,1940-10-15,The Great Dictator,8.334,3103
"[18, 10749]",77744,en,Kitty Foyle,"Kitty Foyle, a hard-working white-collar girl from a Philadelphia, Pennsylvania low, middle-class family, meets and falls in love with young socialite Wyn Strafford but his family is against her.",6.951,1940-12-27,Kitty Foyle,6.6,37
"[80, 18]",17801,en,The Letter,"After a woman shoots a man to death, a damning letter she wrote raises suspicions.",8.142,1940-11-21,The Letter,7.287,197
"[18, 10752]",52859,en,The Long Voyage Home,The crew of the merchant ship Glencairn hope to survive a transatlantic crossing during World War II. Adapted from four Eugene O'Neill one-act plays.,9.789,1940-11-16,The Long Voyage Home,6.5,70
"[18, 10749]",23283,en,Our Town,"Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.",4.579,1940-05-24,Our Town,5.8,27
"[35, 10749]",981,en,The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",18.056,1940-12-05,The Philadelphia Story,7.7,781
"[9648, 10749, 53, 18]",223,en,Rebecca,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",19.075,1940-03-23,Rebecca,7.911,1621
"[18, 10749]",84087,en,Blossoms in the Dust,"Edna marries Texan Sam Gladney, operator of a wheat mill. They have a son, who is killed when very young. Edna discovers by chance how the law treats children who are without parents and decides to do something about it. She opens a home for foundlings and orphans and begins to place children in good homes, despite the opposition of ""conservative"" citizens, who would condemn illegitimate children for being born out of wedlock. Eventually Edna leads a fight in the Texas legislature to remove the stigma of illegitimacy from birth records in that state, while continuing to be an advocate for homeless children.",12.081,1941-08-15,Blossoms in the Dust,6.5,28
"[9648, 18]",15,en,Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",26.717,1941-04-17,Citizen Kane,8.013,5126
"[35, 14, 10749]",38914,en,Here Comes Mr. Jordan,"Boxer Joe Pendleton, flying to his next fight, crashes...because a Heavenly Messenger, new on the job, snatched Joe's spirit prematurely from his body. Before the matter can be rectified, Joe's body is cremated; so the celestial Mr. Jordan grants him the use of the body of wealthy Bruce Farnsworth, who's just been murdered by his wife. Joe tries to remake Farnsworth's unworthy life in his own clean-cut image, but then falls in love; and what about that murderous wife?",11.141,1941-08-07,Here Comes Mr. Jordan,7.0,89
"[18, 10749]",51395,en,Hold Back the Dawn,"Romanian-French gigolo Georges Iscovescu wishes to enter the USA. Stopped in Mexico by the quota system, he decides to marry an American, then desert her and join his old partner Anita, who's done likewise. But after sweeping teacher Emmy Brown off her feet, he finds her so sweet that love and jealousy endanger his plans.",8.773,1941-09-26,Hold Back the Dawn,6.6,36
[18],43266,en,How Green Was My Valley,A man in his fifties reminisces about his childhood growing up in a Welsh mining village at the turn of the 20th century.,14.929,1941-10-28,How Green Was My Valley,7.234,354
"[18, 10749, 36]",43802,en,The Little Foxes,"In 1900, a clan attempts to strike a deal with a Chicago industrialist to get him to build cotton mills in their Deep South town.",12.047,1941-08-29,The Little Foxes,7.474,155
"[9648, 80, 53]",963,en,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",25.858,1941-10-18,The Maltese Falcon,7.717,1536
"[18, 10749]",84086,en,One Foot in Heaven,Episodic look at the life of a minister and his family as they move from one parish to another.,7.935,1941-11-01,One Foot in Heaven,6.6,16
