,year_film,year_ceremony,ceremony,name,film,winner
4635,1968,1969,41,"Ray Stark, Producer",Funny Girl,False
4636,1968,1969,41,"Martin Poll, Producer",The Lion in Winter,False
4637,1968,1969,41,"John Woolf, Producer",Oliver!,True
4638,1968,1969,41,"Paul Newman, Producer","Rachel, Rachel",False
4639,1968,1969,41,"Anthony Havelock-Allan and John Brabourne, Producers",Romeo and Juliet,False
4743,1969,1970,42,"Hal B. Wallis, Producer",Anne of the Thousand Days,False
4744,1969,1970,42,"John Foreman, Producer",Butch Cassidy and the Sundance Kid,False
4745,1969,1970,42,"Ernest Lehman, Producer","Hello, Dolly!",False
4746,1969,1970,42,"Jerome Hellman, Producer",Midnight Cowboy,True
4747,1969,1970,42,"Jacques Perrin and Hamed Rachedi, Producers",Z,False
4848,1970,1971,43,"Ross Hunter, Producer",Airport,False
4849,1970,1971,43,"Bob Rafelson and Richard Wechsler, Producers",Five Easy Pieces,False
4850,1970,1971,43,"Howard G. Minsky, Producer",Love Story,False
4851,1970,1971,43,"Ingo Preminger, Producer",M*A*S*H,False
4852,1970,1971,43,"Frank McCarthy, Producer",Patton,True
4955,1971,1972,44,"Stanley Kubrick, Producer",A Clockwork Orange,False
4956,1971,1972,44,"Norman Jewison, Producer",Fiddler on the Roof,False
4957,1971,1972,44,"Philip D'Antoni, Producer",The French Connection,True
4958,1971,1972,44,"Stephen J. Friedman, Producer",The Last Picture Show,False
4959,1971,1972,44,"Sam Spiegel, Producer",Nicholas and Alexandra,False
5058,1972,1973,45,"Cy Feuer, Producer",Cabaret,False
5059,1972,1973,45,"John Boorman, Producer",Deliverance,False
5060,1972,1973,45,"Bengt Forslund, Producer",The Emigrants,False
5061,1972,1973,45,"Albert S. Ruddy, Producer",The Godfather,True
5062,1972,1973,45,"Robert B. Radnitz, Producer",Sounder,False
5161,1973,1974,46,"Francis Ford Coppola, Producer;  Gary Kurtz, Co-Producer",American Graffiti,False
5162,1973,1974,46,"Ingmar Bergman, Producer",Cries and Whispers,False
5163,1973,1974,46,"William Peter Blatty, Producer",The Exorcist,False
5164,1973,1974,46,"Tony Bill, Michael Phillips and Julia Phillips, Producers",The Sting,True
5165,1973,1974,46,"Melvin Frank, Producer",A Touch of Class,False
5264,1974,1975,47,"Robert Evans, Producer",Chinatown,False
5265,1974,1975,47,"Francis Ford Coppola, Producer;  Fred Roos, Co-Producer",The Conversation,False
5266,1974,1975,47,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers",The Godfather Part II,True
5267,1974,1975,47,"Marvin Worth, Producer",Lenny,False
5268,1974,1975,47,"Irwin Allen, Producer",The Towering Inferno,False
5371,1975,1976,48,"Stanley Kubrick, Producer",Barry Lyndon,False
5372,1975,1976,48,"Martin Bregman and Martin Elfand, Producers",Dog Day Afternoon,False
5373,1975,1976,48,"Richard D. Zanuck and David Brown, Producers",Jaws,False
5374,1975,1976,48,"Robert Altman, Producer",Nashville,False
5375,1975,1976,48,"Saul Zaentz and Michael Douglas, Producers",One Flew over the Cuckoo's Nest,True
5478,1976,1977,49,"Walter Coblenz, Producer",All the President's Men,False
5479,1976,1977,49,"Robert F. Blumofe and Harold Leventhal, Producers",Bound for Glory,False
5480,1976,1977,49,"Howard Gottfried, Producer",Network,False
5481,1976,1977,49,"Irwin Winkler and Robert Chartoff, Producers",Rocky,True
5482,1976,1977,49,"Michael Phillips and Julia Phillips, Producers",Taxi Driver,False
5582,1977,1978,50,"Charles H. Joffe, Producer",Annie Hall,True
5583,1977,1978,50,"Ray Stark, Producer",The Goodbye Girl,False
5584,1977,1978,50,"Richard Roth, Producer",Julia,False
5585,1977,1978,50,"Gary Kurtz, Producer",Star Wars,False
5586,1977,1978,50,"Herbert Ross and Arthur Laurents, Producers",The Turning Point,False
5691,1978,1979,51,"Jerome Hellman, Producer",Coming Home,False
5692,1978,1979,51,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,True
5693,1978,1979,51,"Warren Beatty, Producer",Heaven Can Wait,False
5694,1978,1979,51,"Alan Marshall and David Puttnam, Producers",Midnight Express,False
5695,1978,1979,51,"Paul Mazursky and Tony Ray, Producers",An Unmarried Woman,False
5797,1979,1980,52,"Robert Alan Aurthur, Producer",All That Jazz,False
5798,1979,1980,52,"Francis Coppola, Producer;  Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",Apocalypse Now,False
5799,1979,1980,52,"Peter Yates, Producer",Breaking Away,False
5800,1979,1980,52,"Stanley R. Jaffe, Producer",Kramer vs. Kramer,True
5801,1979,1980,52,"Tamara Asseyev and Alex Rose, Producers",Norma Rae,False
5905,1980,1981,53,"Bernard Schwartz, Producer",Coal Miner's Daughter,False
5906,1980,1981,53,"Jonathan Sanger, Producer",The Elephant Man,False
5907,1980,1981,53,"Ronald L. Schwary, Producer",Ordinary People,True
5908,1980,1981,53,"Irwin Winkler and Robert Chartoff, Producers",Raging Bull,False
5909,1980,1981,53,"Claude Berri, Producer;  Timothy Burrill, Co-Producer",Tess,False
6005,1981,1982,54,"Denis Heroux and John Kemeny, Producers",Atlantic City,False
6006,1981,1982,54,"David Puttnam, Producer",Chariots of Fire,True
6007,1981,1982,54,"Bruce Gilbert, Producer",On Golden Pond,False
6008,1981,1982,54,"Frank Marshall, Producer",Raiders of the Lost Ark,False
6009,1981,1982,54,"Warren Beatty, Producer",Reds,False
6112,1982,1983,55,"Steven Spielberg and Kathleen Kennedy, Producers",E.T. The Extra-Terrestrial,False
6113,1982,1983,55,"Richard Attenborough, Producer",Gandhi,True
6114,1982,1983,55,"Edward Lewis and Mildred Lewis, Producers",Missing,False
6115,1982,1983,55,"Sydney Pollack and Dick Richards, Producers",Tootsie,False
6116,1982,1983,55,"Richard D. Zanuck and David Brown, Producers",The Verdict,False
6221,1983,1984,56,"Michael Shamberg, Producer",The Big Chill,False
6222,1983,1984,56,"Peter Yates, Producer",The Dresser,False
6223,1983,1984,56,"Irwin Winkler and Robert Chartoff, Producers",The Right Stuff,False
6224,1983,1984,56,"Philip S. Hobel, Producer",Tender Mercies,False
6225,1983,1984,56,"James L. Brooks, Producer",Terms of Endearment,True
6328,1984,1985,57,"Saul Zaentz, Producer",Amadeus,True
6329,1984,1985,57,"David Puttnam, Producer",The Killing Fields,False
6330,1984,1985,57,"John Brabourne and Richard Goodwin, Producers",A Passage to India,False
6331,1984,1985,57,"Arlene Donovan, Producer",Places in the Heart,False
6332,1984,1985,57,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",A Soldier's Story,False
6434,1985,1986,58,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",The Color Purple,False
6435,1985,1986,58,"David Weisman, Producer",Kiss of the Spider Woman,False
6436,1985,1986,58,"Sydney Pollack, Producer",Out of Africa,True
6437,1985,1986,58,"John Foreman, Producer",Prizzi's Honor,False
6438,1985,1986,58,"Edward S. Feldman, Producer",Witness,False
6542,1986,1987,59,"Burt Sugarman and Patrick Palmer, Producers",Children of a Lesser God,False
6543,1986,1987,59,"Robert Greenhut, Producer",Hannah and Her Sisters,False
6544,1986,1987,59,"Fernando Ghia and David Puttnam, Producers",The Mission,False
6545,1986,1987,59,"Arnold Kopelson, Producer",Platoon,True
6546,1986,1987,59,"Ismail Merchant, Producer",A Room with a View,False
6648,1987,1988,60,"James L. Brooks, Producer",Broadcast News,False
6649,1987,1988,60,"Stanley R. Jaffe and Sherry Lansing, Producers",Fatal Attraction,False
6650,1987,1988,60,"John Boorman, Producer",Hope and Glory,False
6651,1987,1988,60,"Jeremy Thomas, Producer",The Last Emperor,True
6652,1987,1988,60,"Patrick Palmer and Norman Jewison, Producers",Moonstruck,False
6749,1988,1989,61,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",The Accidental Tourist,False
6750,1988,1989,61,"Norma Heyman and Hank Moonjean, Producers",Dangerous Liaisons,False
6751,1988,1989,61,"Frederick Zollo and Robert F. Colesberry, Producers",Mississippi Burning,False
6752,1988,1989,61,"Mark Johnson, Producer",Rain Man,True
6753,1988,1989,61,"Douglas Wick, Producer",Working Girl,False
6855,1989,1990,62,"A. Kitman Ho and Oliver Stone, Producers",Born on the Fourth of July,False
6856,1989,1990,62,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",Dead Poets Society,False
6857,1989,1990,62,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Driving Miss Daisy,True
6858,1989,1990,62,"Lawrence Gordon and Charles Gordon, Producers",Field of Dreams,False
6859,1989,1990,62,"Noel Pearson, Producer",My Left Foot,False
6962,1990,1991,63,"Walter F. Parkes and Lawrence Lasker, Producers",Awakenings,False
6963,1990,1991,63,"Jim Wilson and Kevin Costner, Producers",Dances With Wolves,True
6964,1990,1991,63,"Lisa Weinstein, Producer",Ghost,False
6965,1990,1991,63,"Francis Ford Coppola, Producer","The Godfather, Part III",False
6966,1990,1991,63,"Irwin Winkler, Producer",Good Fellas,False
7070,1991,1992,64,"Don Hahn, Producer",Beauty and the Beast,False
7071,1991,1992,64,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",Bugsy,False
7072,1991,1992,64,"A. Kitman Ho and Oliver Stone, Producers",JFK,False
7073,1991,1992,64,"Barbra Streisand and Andrew Karsch, Producers",The Prince of Tides,False
7074,1991,1992,64,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",The Silence of the Lambs,True
7177,1992,1993,65,"Stephen Woolley, Producer",The Crying Game,False
7178,1992,1993,65,"David Brown, Rob Reiner and Andrew Scheinman, Producers",A Few Good Men,False
7179,1992,1993,65,"Ismail Merchant, Producer",Howards End,False
7180,1992,1993,65,"Martin Brest, Producer",Scent of a Woman,False
7181,1992,1993,65,"Clint Eastwood, Producer",Unforgiven,True
7287,1993,1994,66,"Arnold Kopelson, Producer",The Fugitive,False
7288,1993,1994,66,"Jim Sheridan, Producer",In the Name of the Father,False
7289,1993,1994,66,"Jan Chapman, Producer",The Piano,False
7290,1993,1994,66,"Mike Nichols, John Calley and Ismail Merchant, Producers",The Remains of the Day,False
7291,1993,1994,66,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Schindler's List,True
7398,1994,1995,67,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump,True
7399,1994,1995,67,"Duncan Kenworthy, Producer",Four Weddings and a Funeral,False
7400,1994,1995,67,"Lawrence Bender, Producer",Pulp Fiction,False
7401,1994,1995,67,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",Quiz Show,False
7402,1994,1995,67,"Niki Marvin, Producer",The Shawshank Redemption,False
7515,1995,1996,68,"Brian Grazer, Producer",Apollo 13,False
7516,1995,1996,68,"George Miller, Doug Mitchell and Bill Miller, Producers",Babe,False
